# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
7.315380884E+00  3.925585032E+00
7.321956508E+00  3.309820175E+00
7.328532131E+00  3.275465488E+00
7.335107754E+00  3.726906061E+00
7.341683378E+00  3.537270546E+00
7.348259001E+00  3.539151907E+00
7.354834624E+00  4.408393860E+00
7.361410247E+00  4.925808430E+00
7.367985871E+00  4.975219250E+00
7.374561494E+00  2.789067268E+00
7.381137117E+00  1.832685590E+00
7.387712740E+00  4.927754700E-01
7.394288364E+00  1.293714643E+00
7.400863987E+00  2.349216938E+00
7.407439610E+00  4.222684860E+00
7.414015233E+00  4.790001392E+00
7.420590857E+00  5.477815151E+00
7.427166480E+00  5.700062752E+00
7.433742103E+00  5.905822277E+00
7.440317727E+00  4.784883499E+00
7.446893350E+00  6.379076004E+00
7.453468973E+00  9.134518623E+00
7.460044596E+00  8.825940132E+00
7.466620220E+00  4.058631420E+00
7.473195843E+00  3.887591839E+00
7.479771466E+00  2.766261339E+00
7.486347089E+00  2.022109270E+00
7.492922713E+00  8.857062459E-02
7.499498336E+00  -1.389943063E-01
7.506073959E+00  7.142800689E-01
7.512649582E+00  1.673665524E+00
7.519225206E+00  1.679490328E+00
7.525800829E+00  8.263980746E-01
7.532376452E+00  1.475294530E-01
7.538952076E+00  1.135518670E+00
7.545527699E+00  1.070130825E+00
7.552103322E+00  8.893563747E-01
7.558678945E+00  -2.119567841E-01
7.565254569E+00  -5.379623771E-01
7.571830192E+00  8.552534580E-01
7.578405815E+00  3.762210369E+00
7.584981438E+00  4.271392345E+00
7.591557062E+00  3.587022305E+00
7.598132685E+00  2.515390635E+00
7.604708308E+00  2.075691462E+00
7.611283931E+00  1.318869114E+00
7.617859555E+00  6.157017946E-01
7.624435178E+00  1.526091015E-03
7.631010801E+00  2.377581596E-01
7.637586425E+00  7.371846437E-01
7.644162048E+00  1.669917703E+00
7.650737671E+00  2.239271402E+00
7.657313294E+00  3.609494925E+00
7.663888918E+00  3.159188271E+00
7.670464541E+00  3.852393866E+00
7.677040164E+00  4.200510502E+00
7.683615787E+00  5.145591736E+00
7.690191411E+00  4.497356415E+00
7.696767034E+00  4.940025330E+00
7.703342657E+00  4.777923584E+00
7.709918281E+00  6.186947346E+00
7.716493904E+00  6.978233337E+00
7.723069527E+00  7.203141689E+00
7.729645150E+00  7.652765751E+00
7.736220774E+00  9.256370544E+00
7.742796397E+00  1.115268326E+01
7.749372020E+00  1.182856464E+01
7.755947643E+00  1.033824921E+01
7.762523267E+00  9.146116257E+00
7.769098890E+00  7.865467072E+00
7.775674513E+00  6.616916656E+00
7.782250136E+00  4.276936054E+00
7.788825760E+00  3.114568710E+00
7.795401383E+00  3.591725588E+00
7.801977006E+00  5.770901680E+00
7.808552630E+00  6.534903049E+00
7.815128253E+00  6.192804337E+00
7.821703876E+00  4.541474342E+00
7.828279499E+00  3.810889244E+00
7.834855123E+00  2.894600153E+00
7.841430746E+00  4.046514034E+00
7.848006369E+00  5.050324917E+00
7.854581992E+00  6.384557247E+00
7.861157616E+00  5.809963226E+00
7.867733239E+00  5.395407677E+00
7.874308862E+00  6.101359844E+00
7.880884485E+00  7.068469048E+00
7.887460109E+00  9.055554390E+00
7.894035732E+00  9.359036446E+00
7.900611355E+00  8.901803017E+00
7.907186979E+00  9.798642159E+00
7.913762602E+00  1.113700008E+01
7.920338225E+00  1.244573307E+01
7.926913848E+00  1.429666710E+01
7.933489472E+00  1.555899334E+01
7.940065095E+00  1.712387848E+01
7.946640718E+00  1.724430275E+01
7.953216341E+00  1.910782051E+01
7.959791965E+00  2.100745392E+01
7.966367588E+00  2.440516663E+01
7.972943211E+00  2.726487541E+01
7.979518834E+00  2.967842674E+01
7.986094458E+00  3.175426292E+01
7.992670081E+00  3.347534180E+01
7.999245704E+00  3.544326019E+01
8.005821328E+00  3.860972214E+01
8.012396951E+00  4.073403549E+01
8.018972574E+00  4.388019562E+01
8.025548197E+00  4.593690872E+01
8.032123821E+00  5.101405716E+01
8.038699444E+00  5.626058578E+01
8.045275067E+00  6.202320099E+01
8.051850690E+00  6.779067993E+01
8.058426314E+00  7.334136200E+01
8.065001937E+00  8.093746185E+01
8.071577560E+00  8.989246368E+01
8.078153183E+00  1.003274612E+02
8.084728807E+00  1.119329071E+02
8.091304430E+00  1.271062469E+02
8.097880053E+00  1.436887970E+02
8.104455677E+00  1.641293030E+02
8.111031300E+00  1.873784332E+02
8.117606923E+00  2.143087463E+02
8.124182546E+00  2.462117615E+02
8.130758170E+00  2.852876587E+02
8.137333793E+00  3.298377380E+02
8.143909416E+00  3.863605042E+02
8.150485039E+00  4.546044922E+02
8.157060663E+00  5.334769897E+02
8.163636286E+00  6.207181396E+02
8.170211909E+00  7.122460327E+02
8.176787532E+00  8.017510376E+02
8.183363156E+00  8.910812988E+02
8.189938779E+00  9.651558228E+02
8.196514402E+00  1.030472656E+03
8.203090026E+00  1.082372070E+03
8.209665649E+00  1.066742310E+03
8.216241272E+00  1.006855347E+03
8.222816895E+00  9.250803833E+02
8.229392519E+00  8.222152710E+02
8.235968142E+00  7.147223511E+02
8.242543765E+00  6.200245361E+02
8.249119388E+00  5.277849731E+02
8.255695012E+00  4.543024292E+02
8.262270635E+00  3.923044739E+02
8.268846258E+00  3.392515564E+02
8.275421881E+00  2.947848206E+02
8.281997505E+00  2.605141296E+02
8.288573128E+00  2.320005188E+02
8.295148751E+00  2.083807220E+02
